cluster,lat,lon
7,45.53,-124.77
7,45.53,-124.52
7,45.53,-124.27
7,45.53,-124.02
13,45.53,-123.77
13,45.53,-123.52
13,45.53,-123.27
13,45.53,-123.02
13,45.53,-122.77
13,45.53,-122.52
13,45.53,-122.27
13,45.53,-122.02
1,45.53,-121.77
1,45.53,-121.52
1,45.53,-121.27
1,45.53,-121.02
10,45.53,-120.77
10,45.53,-120.52
10,45.53,-120.27
10,45.53,-120.02
12,45.53,-119.77
12,45.53,-119.52
12,45.53,-119.27
12,45.53,-119.02
12,45.53,-118.77
12,45.53,-118.52
2,45.53,-118.27
2,45.53,-118.02
2,45.53,-117.77
2,45.53,-117.52
2,45.53,-117.27
2,45.53,-117.02
2,45.53,-116.77
7,45.78,-124.77
7,45.78,-124.52
7,45.78,-124.27
7,45.78,-124.02
13,45.78,-123.77
13,45.78,-123.52
13,45.78,-123.27
13,45.78,-123.02
13,45.78,-122.77
13,45.78,-122.52
13,45.78,-122.27
13,45.78,-122.02
1,45.78,-121.77
1,45.78,-121.52
1,45.78,-121.27
1,45.78,-121.02
10,45.78,-120.77
10,45.78,-120.52
10,45.78,-120.27
10,45.78,-120.02
12,45.78,-119.77
12,45.78,-119.52
12,45.78,-119.27
12,45.78,-119.02
12,45.78,-118.77
12,45.78,-118.52
2,45.78,-118.27
2,45.78,-118.02
2,45.78,-117.77
2,45.78,-117.52
2,45.78,-117.27
2,45.78,-117.02
2,45.78,-116.77
7,46.03,-124.77
7,46.03,-124.52
7,46.03,-124.27
7,46.03,-124.02
13,46.03,-123.77
13,46.03,-123.52
13,46.03,-123.27
13,46.03,-123.02
13,46.03,-122.77
13,46.03,-122.52
13,46.03,-122.27
13,46.03,-122.02
1,46.03,-121.77
1,46.03,-121.52
1,46.03,-121.27
1,46.03,-121.02
10,46.03,-120.77
10,46.03,-120.52
10,46.03,-120.27
10,46.03,-120.02
12,46.03,-119.77
12,46.03,-119.52
12,46.03,-119.27
12,46.03,-119.02
12,46.03,-118.77
12,46.03,-118.52
12,46.03,-118.27
2,46.03,-118.02
2,46.03,-117.77
2,46.03,-117.52
2,46.03,-117.27
2,46.03,-117.02
2,46.03,-116.77
7,46.28,-124.77
7,46.28,-124.52
7,46.28,-124.27
7,46.28,-124.02
13,46.28,-123.77
13,46.28,-123.52
13,46.28,-123.27
13,46.28,-123.02
13,46.28,-122.77
13,46.28,-122.52
13,46.28,-122.27
13,46.28,-122.02
1,46.28,-121.77
1,46.28,-121.52
1,46.28,-121.27
1,46.28,-121.02
10,46.28,-120.77
10,46.28,-120.52
10,46.28,-120.27
10,46.28,-120.02
12,46.28,-119.77
12,46.28,-119.52
12,46.28,-119.27
12,46.28,-119.02
12,46.28,-118.77
12,46.28,-118.52
12,46.28,-118.27
12,46.28,-118.02
2,46.28,-117.77
2,46.28,-117.52
2,46.28,-117.27
2,46.28,-117.02
2,46.28,-116.77
7,46.53,-124.77
7,46.53,-124.52
7,46.53,-124.27
7,46.53,-124.02
13,46.53,-123.77
13,46.53,-123.52
13,46.53,-123.27
13,46.53,-123.02
13,46.53,-122.77
13,46.53,-122.52
13,46.53,-122.27
1,46.53,-122.02
1,46.53,-121.77
1,46.53,-121.52
1,46.53,-121.27
1,46.53,-121.02
10,46.53,-120.77
10,46.53,-120.52
